"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","-0.023***","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_drought","","","","","","","","","","","","","","0.003","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.019)","","","","","","","","","","","","","","","","","","",""
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","-0.025***","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_disease","","","","","","","","","","","","","","","0.013","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.009)","","","","","","","","","","","","","","","","","",""
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","-0.024***","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.007)","","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_crop_bad","","","","","","","","","","","","","","","","-0.012","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.016)","","","","","","","","","","","","","","","","",""
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","-0.018*","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.008)","","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_destru_rain","","","","","","","","","","","","","","","","","-0.008","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.011)","","","","","","","","","","","","","","","",""
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","-0.032**","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.010)","","","","","","","","","","","","","","",""
"exposure_x_sk_nt_erosion","","","","","","","","","","","","","","","","","","-0.003","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.012)","","","","","","","","","","","","","","",""
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","-0.103*","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.041)","","","","","","","","","","","","","",""
"exposure_x_sk_ec_input_access","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.014)","","","","","","","","","","","","","",""
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","-0.103*","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.041)","","","","","","","","","","","","",""
"exposure_x_sk_ec_input_price","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.014)","","","","","","","","","","","","",""
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","-0.165*","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.076)","","","","","","","","","","","",""
"exposure_x_sk_ec_nonmarket","","","","","","","","","","","","","","","","","","","","","-0.017","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.013)","","","","","","","","","","","",""
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","-0.150*","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.066)","","","","","","","","","","",""
"exposure_x_sk_ec_output_price","","","","","","","","","","","","","","","","","","","","","","-0.011","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.014)","","","","","","","","","","",""
"Sale of land (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","-0.170*","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","(0.077)","","","","","","","","","",""
"exposure_x_sk_ec_sell_land","","","","","","","","","","","","","","","","","","","","","","","-0.013","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","(0.013)","","","","","","","","","",""
"Sale of house (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","-0.192*","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","(0.094)","","","","","","","","",""
"exposure_x_sk_ec_sell_other","","","","","","","","","","","","","","","","","","","","","","","","-0.019","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","(0.012)","","","","","","","","",""
"Humanitarian aid received (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","","-0.124*","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","(0.052)","","","","","","","",""
"exposure_x_sk_ec_rec_help","","","","","","","","","","","","","","","","","","","","","","","","","-0.010","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","(0.014)","","","","","","","",""
"Conflict-caused loss of land/crops","","","","","","","","","","","","","","","","","","","","","","","","","","0.011","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","(0.021)","","","","","","",""
"exposure_x_pca_agri","","","","","","","","","","","","","","","","","","","","","","","","","","-0.027","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","(0.087)","","","","","","",""
"Conflict-caused loss of assets","","","","","","","","","","","","","","","","","","","","","","","","","","","0.110***","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.031)","","","","","",""
"exposure_x_pca_asset","","","","","","","","","","","","","","","","","","","","","","","","","","","0.053","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.097)","","","","","",""
"Economic shocks (input prices, market access)","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.087","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.285)","","","","",""
"exposure_x_pca_economic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.072)","","","","",""
"Coping strategies (asset/land sales, external help)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.156","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.293)","","","",""
"exposure_x_pca_coping","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.010","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.073)","","","",""
"Extreme rain/drought shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.023*","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.011)","","",""
"exposure_x_pca_weather","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.039","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.036)","","",""
"Bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.044","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.052)","",""
"exposure_x_pca_natural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.122","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.144)","",""
"Extreme rain/drought/bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.027*",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.013)",""
"exposure_x_pca_natural_all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.029",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.037)",""
"Conflict-caused losses of land/crops and assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.097**"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.032)"
"exposure_x_pca_all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.054"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.115)"
"Constant","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.008","0.009","0.002","0.004","0.004","0.003","0.005","0.007","0.007","0.007","0.007","0.007","-0.032","0.008","0.007"
"","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.008)","(0.009)","(0.009)","(0.008)","(0.009)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.048)","(0.007)","(0.007)"
"Observations","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720","8720"
"Dependent Variable: At least one household member migrates outside household in a given year (yes=1)"
"Interaction: Violence x Shock variables"
"Year fixed effects and province trend included"
