"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"","","","","","","","","","","","","","","","","","","","","","","","","","(0.046)","","","","","","","",""
"Conflict-caused loss of land/crops","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","(0.021)","","","","","","",""
"Conflict-caused loss of assets","","","","","","","","","","","","","","","","","","","","","","","","","","","0.092***","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.025)","","","","","",""
"Economic shocks (input prices, market access)","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.040","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.286)","","","","",""
"Coping strategies (asset/land sales, external help)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.074","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.298)","","","",""
"Extreme rain/drought shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.015","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.009)","","",""
"Bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.043","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.040)","",""
"Extreme rain/drought/bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.016",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.009)",""
"Conflict-caused losses of land/crops and assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.084**"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.026)"
"Constant","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.007","0.007","0.007","0.007","0.007","-0.031","0.007","0.007"
"","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.008)","(0.008)","(0.007)","(0.007)","(0.007)","(0.008)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.038)","(0.007)","(0.007)"
"Observations","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800"
"Dependent Variable: Migration outside household in a given year (yes=1)"
"Year fixed effects and province trend included"
