"","est1","est2","est3","est4","est5","est6","est7","est8","est9","est10","est11","est12","est13","est14","est15","est16","est17","est18","est19","est20","est21","est22","est23","est24","est25","est26","est27","est28","est29","est30","est31","est32","est33"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"Forced contributions paid (yes=1) for a household in 1998–2007","","","","","","","","","","","","-0.048***","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","(0.012)","","","","","","","","","","","","","","","","","","","","",""
"Excessive rainfall (yes=1) for a household in 1998–2007","","","","","","","","","","","","","-0.025***","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","","","","","",""
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","-0.013*","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","","","","","",""
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","-0.010*","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","","","","",""
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","-0.015**","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","","","",""
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","-0.007","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","(0.006)","","","","","","","","","","","","","","","",""
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","-0.015**","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","(0.005)","","","","","","","","","","","","","","",""
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","-0.041","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","(0.037)","","","","","","","","","","","","","",""
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","-0.041","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","(0.037)","","","","","","","","","","","","",""
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","-0.072","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","(0.068)","","","","","","","","","","","",""
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","-0.065","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","(0.059)","","","","","","","","","","",""
"Sale of land (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","-0.074","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","(0.067)","","","","","","","","","",""
"Sale of house (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","-0.086","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","(0.083)","","","","","","","","",""
"Humanitarian aid received (yes=1) for a household in 1998–2007","","","","","","","","","","","","","","","","","","","","","","","","","-0.051","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","(0.046)","","","","","","","",""
"Conflict-caused loss of land/crops","","","","","","","","","","","","","","","","","","","","","","","","","","0.007","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","(0.021)","","","","","","",""
"Conflict-caused loss of assets","","","","","","","","","","","","","","","","","","","","","","","","","","","0.093***","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.025)","","","","","",""
"Economic shocks (input prices, market access)","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.042","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.285)","","","","",""
"Coping strategies (asset/land sales, external help)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.076","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.296)","","","",""
"Extreme rain/drought shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.015","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.009)","","",""
"Bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.043","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.040)","",""
"Extreme rain/drought/bad harvest/soil erosion shocks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.017",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.009)",""
"Conflict-caused losses of land/crops and assets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.084**"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(0.027)"
"Constant","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","0.012","-0.025","0.012","0.012"
"","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.007)","(0.038)","(0.007)","(0.007)"
"Observations","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800","34800"
"Dependent Variable: Migration outside household in a given year (yes=1)"
"Year fixed effects and province trend included"
