
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)",="(91)",="(92)",="(93)",="(94)",="(95)",="(96)",="(97)",="(98)",="(99)",="(100)",="(101)",="(102)",="(103)",="(104)",="(105)",="(106)",="(107)",="(108)",="(109)",="(110)",="(111)",="(112)",="(113)",="(114)",="(115)",="(116)",="(117)",="(118)",="(119)",="(120)",="(121)",="(122)",="(123)",="(124)",="(125)",="(126)",="(127)",="(128)",="(129)",="(130)",="(131)",="(132)",="(133)",="(134)",="(135)",="(136)",="(137)",="(138)",="(139)",="(140)",="(141)",="(142)",="(143)",="(144)",="(145)",="(146)",="(147)",="(148)",="(149)",="(150)",="(151)",="(152)",="(153)",="(154)",="(155)",="(156)",="(157)",="(158)",="(159)",="(160)",="(161)",="(162)",="(163)",="(164)",="(165)",="(166)",="(167)",="(168)",="(169)",="(170)",="(171)",="(172)",="(173)",="(174)",="(175)",="(176)",="(177)",="(178)",="(179)",="(180)",="(181)",="(182)",="(183)"

="Poverty status of the household in 1998 (yes=1)",="0.157***",="0.155***",="0.156***",="0.161***",="0.161***",="0.160***",="0.156***",="0.156***",="0.157***",="0.160***",="0.160***",="0.161***",="0.159***",="0.159***",="0.159***",="0.159***",="0.158***",="0.160***",="0.159***",="0.158***",="0.159***",="0.158***",="0.158***",="0.159***",="0.158***",="0.159***",="0.160***",="0.158***",="0.156***",="0.158***",="0.159***",="0.159***",="0.159***",="0.158***",="0.158***",="0.159***",="0.162***",="0.161***",="0.163***",="0.160***",="0.161***",="0.161***",="0.161***",="0.160***",="0.161***",="0.157***",="0.159***",="0.158***",="0.160***",="0.159***",="0.159***",="0.159***",="0.159***",="0.159***",="0.153***",="0.152***",="0.154***",="0.160***",="0.158***",="0.159***",="0.158***",="0.158***",="0.158***",="0.160***",="0.159***",="0.160***",="0.160***",="0.159***",="0.160***",="0.160***",="0.159***",="0.160***",="0.160***",="0.159***",="0.160***",="0.160***",="0.159***",="0.160***",="0.160***",="0.159***",="0.160***",="0.160***",="0.159***",="0.160***",="0.162***",="0.160***",="0.163***",="0.159***",="0.158***",="0.159***",="0.158***",="0.155***",="0.158***",="0.159***",="0.158***",="0.159***",="0.160***",="0.158***",="0.161***",="0.159***",="0.160***",="0.160***",="0.160***",="0.160***",="0.160***",="0.159***",="0.159***",="0.159***",="0.159***",="0.158***",="0.159***",="0.162***",="0.163***",="0.166***",="0.160***",="0.160***",="0.161***",="0.161***",="0.160***",="0.161***",="0.159***",="0.157***",="0.159***",="0.158***",="0.158***",="0.159***",="0.159***",="0.159***",="0.160***",="0.149***",="0.150***",="0.151***",="0.159***",="0.157***",="0.159***",="0.160***",="0.159***",="0.160***",="0.158***",="0.157***",="0.160***",="0.160***",="0.159***",="0.160***",="0.161***",="0.159***",="0.161***",="0.160***",="0.159***",="0.161***",="0.159***",="0.158***",="0.160***",="0.159***",="0.158***",="0.160***",="0.156***",="0.156***",="0.158***",="0.160***",="0.158***",="0.160***",="0.160***",="0.157***",="0.161***",="0.159***",="0.159***",="0.161***",="0.156***",="0.157***",="0.158***",="0.157***",="0.157***",="0.158***",="0.154***",="0.154***",="0.155***",="0.158***",="0.159***",="0.159***",="0.160***",="0.156***",="0.160***"
="",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.035)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.036)",="(0.037)",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.036)",="(0.037)",="(0.036)",="(0.036)",="(0.037)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.036)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.036)",="(0.037)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.037)",="(0.036)",="(0.036)",="(0.036)",="(0.036)"

="Dummy presence of violence during 1998–2007 (yes=1)",="0.125***",="0.112***",="0.115***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.041)",="(0.040)",="(0.042)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Number of years with presence of violence during 1998–2007",="",="",="",="0.005",="0.004",="0.003",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.011)",="(0.011)",="(0.011)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

